
0	0	0	0	0	0
1	1	0	1	1	0
2	2	1	2	3	1
4	4	2	4	4	2
6	7	3	6	8	3
10	11	5	9	12	5
14	16	7	13	17	8
19	22	11	19	23	11
26	30	14	25	32	15
34	39	18	33	42	19


1	2	1	1	2	1
4	4	2	4	5	2
8	8	4	8	10	4
14	15	8	13	17	8
21	23	11	20	26	12
29	31	16	28	35	16
39	43	22	38	48	22
54	59	30	52	65	30
69	77	38	67	85	39
91	102	49	88	110	51


2	2	1	2	3	1
6	7	4	6	8	4
13	14	7	13	16	7
22	22	12	21	26	12
33	35	18	32	39	19
48	50	26	46	57	26
67	71	37	66	80	38
90	96	48	87	107	50
120	130	65	117	145	68
155	168	84	151	185	87


4	4	2	4	5	2
11	11	6	11	14	7
20	20	12	19	24	12
31	32	18	30	38	18
48	49	27	46	57	28
69	72	39	67	83	39
94	100	53	91	114	54
125	134	70	122	152	71
167	178	90	162	200	93
216	232	117	210	259	120


6	6	3	6	7	4
15	15	9	14	18	9
26	26	15	25	31	15
41	42	24	41	51	24
64	65	36	63	77	37
90	93	52	88	109	52
125	130	71	123	152	72
168	175	95	165	203	96
218	229	124	213	263	125
277	294	155	271	335	158


7	7	4	7	9	4
17	17	10	17	22	11
31	32	19	31	39	19
51	52	30	50	63	30
75	77	45	74	93	45
105	109	63	103	131	63
143	149	85	140	177	86
190	199	112	186	235	113
252	266	147	247	310	149
322	343	187	315	397	189


7	7	4	7	9	4
20	20	12	19	26	12
35	36	22	35	45	22
56	58	35	55	71	35
86	89	53	84	108	53
123	127	75	121	153	75
168	174	101	165	207	102
229	239	136	225	281	137
299	313	176	293	366	178
381	402	223	373	467	225


10	10	6	10	13	6
24	24	15	24	31	15
41	40	25	40	51	25
66	67	41	66	84	41
99	99	60	97	123	60
142	144	85	139	176	86
196	200	118	192	243	118
258	266	155	253	320	156
334	348	200	328	414	201
423	444	252	414	524	255


11	10	7	11	13	7
25	24	16	25	31	16
45	44	29	44	56	29
74	73	47	73	92	47
108	109	70	107	135	70
153	155	97	151	191	97
212	217	132	209	265	132
283	291	175	278	352	175
372	385	227	366	462	228
476	496	287	467	592	288


10	10	7	10	13	7
26	26	17	26	33	17
49	49	33	49	62	33
79	79	52	78	100	52
117	118	76	116	148	76
169	170	108	167	212	109
230	233	146	227	287	147
309	314	194	305	384	195
402	412	249	396	500	250
514	529	317	505	637	318


12	12	9	12	16	9
31	31	22	31	42	22
55	55	38	54	72	37
87	86	58	86	111	58
132	131	87	130	167	87
183	184	119	180	231	119
248	250	161	245	312	161
328	333	210	324	411	210
432	439	273	426	538	273
547	560	342	538	680	344

